prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
45,o4-mini,behind-right,behind,0,low,4.73,5
46,o4-mini,behind-right,behind,0,low,4.38,5
47,o4-mini,behind-right,behind,0,low,4.09,5
48,o4-mini,behind-right,behind,0,low,6.74,5
49,o4-mini,behind-right,behind,0,low,5.63,5
50,o4-mini,behind-right,behind,0,low,5.42,5
51,o4-mini,behind-left,behind,0,low,4.77,5
52,o4-mini,behind-left,behind,0,low,10.29,5
53,o4-mini,behind-left,behind,0,low,5.72,5
54,o4-mini,behind-left,behind,0,low,4.01,5
55,o4-mini,behind-left,behind,0,low,4.30,5
56,o4-mini,behind-left,behind,0,low,5.29,5
57,o4-mini,behind-left,behind,0,low,3.96,5
58,o4-mini,behind-left,behind,0,low,3.50,5
59,o4-mini,behind-left,behind,0,low,3.54,5
60,o4-mini,behind-left,behind,0,low,6.69,5
61,o4-mini,behind-left,behind,0,low,5.20,5
62,o4-mini,behind-left,behind,0,low,4.94,5
63,o4-mini,behind-left,behind,0,low,4.93,5
64,o4-mini,behind-left,behind,0,low,5.13,5
65,o4-mini,behind-left,behind,0,low,4.54,5
66,o4-mini,behind-left,behind,0,low,7.40,5
67,o4-mini,behind-left,behind,0,low,3.70,5
68,o4-mini,behind-left,behind,0,low,6.02,5
69,o4-mini,behind-left,behind,0,low,4.04,5
70,o4-mini,behind-left,behind,0,low,4.77,5
71,o4-mini,behind-left,behind,0,low,8.30,5
72,o4-mini,behind-left,behind,0,low,4.87,5
73,o4-mini,behind-left,behind,0,low,5.05,5
74,o4-mini,behind-left,behind,0,low,3.41,5
75,o4-mini,behind-left,behind,0,low,2.94,5
76,o4-mini,behind-left,behind,0,low,6.10,5
77,o4-mini,behind-left,behind,0,low,4.24,5
78,o4-mini,behind-left,behind,0,low,3.30,5
79,o4-mini,behind-left,behind,0,low,4.73,5
80,o4-mini,behind-left,behind,0,low,2.84,5
81,o4-mini,behind-left,behind,0,low,3.94,5
82,o4-mini,behind-left,behind,0,low,4.43,5
83,o4-mini,behind-left,behind,0,low,4.81,5
84,o4-mini,behind-left,behind,0,low,5.40,5
85,o4-mini,behind-left,behind,0,low,3.65,5
86,o4-mini,behind-left,behind,0,low,10.06,5
87,o4-mini,behind-left,behind,0,low,6.23,5
88,o4-mini,behind-left,behind,0,low,5.55,5
89,o4-mini,behind-left,behind,0,low,5.16,5
90,o4-mini,behind-left,behind,0,low,4.50,5
91,o4-mini,behind-left,behind,0,low,3.79,5
92,o4-mini,behind-left,behind,0,low,5.43,5
93,o4-mini,behind-left,behind,0,low,4.70,5
94,o4-mini,behind-left,behind,0,low,4.54,5
95,o4-mini,behind-left,behind,0,low,5.80,5
96,o4-mini,behind-left,behind,0,low,3.86,5
97,o4-mini,behind-left,behind,0,low,3.25,5
98,o4-mini,behind-left,behind,0,low,3.84,5
99,o4-mini,behind-left,behind,0,low,4.42,5
100,o4-mini,behind-left,behind,0,low,7.17,5
101,o4-mini,right,right,1,low,4.16,5
102,o4-mini,right,right,1,low,3.21,5
103,o4-mini,right,right,1,low,6.14,5
104,o4-mini,right,right,1,low,4.78,5
105,o4-mini,right,right,1,low,4.85,5
106,o4-mini,right,right,1,low,2.49,5
107,o4-mini,right,right,1,low,2.22,5
108,o4-mini,right,right,1,low,7.91,5
109,o4-mini,right,right,1,low,2.33,5
110,o4-mini,right,right,1,low,5.54,5
111,o4-mini,right,right,1,low,5.68,5
112,o4-mini,right,right,1,low,4.87,5
113,o4-mini,right,right,1,low,5.74,5
114,o4-mini,right,right,1,low,6.03,5
115,o4-mini,right,right,1,low,5.37,5
116,o4-mini,right,right,1,low,3.67,5
117,o4-mini,right,right,1,low,3.60,5
118,o4-mini,right,right,1,low,4.23,5
119,o4-mini,right,right,1,low,3.20,5
120,o4-mini,right,right,1,low,3.69,5
121,o4-mini,right,right,1,low,4.39,5
122,o4-mini,right,right,1,low,3.74,5
123,o4-mini,right,right,1,low,3.02,5
124,o4-mini,right,right,1,low,5.91,5
125,o4-mini,right,right,1,low,3.06,5
126,o4-mini,right,right,1,low,2.84,5
127,o4-mini,right,right,1,low,1.61,5
128,o4-mini,right,right,1,low,1.32,5
129,o4-mini,right,right,1,low,2.94,5
130,o4-mini,right,right,1,low,3.21,5
131,o4-mini,right,right,1,low,2.67,5
132,o4-mini,right,right,1,low,6.30,5
133,o4-mini,right,right,1,low,3.01,5
134,o4-mini,right,right,1,low,3.89,5
135,o4-mini,right,right,1,low,2.09,5
136,o4-mini,right,right,1,low,2.01,5
137,o4-mini,right,right,1,low,3.53,5
138,o4-mini,right,right,1,low,3.38,5
139,o4-mini,right,right,1,low,3.74,5
140,o4-mini,right,right,1,low,2.59,5
141,o4-mini,right,right,1,low,4.47,5
142,o4-mini,right,right,1,low,3.59,5
143,o4-mini,right,right,1,low,2.89,5
144,o4-mini,right,right,1,low,4.83,5
145,o4-mini,right,right,1,low,2.39,5
146,o4-mini,right,right,1,low,4.93,5
147,o4-mini,right,right,1,low,3.48,5
148,o4-mini,right,right,1,low,5.26,5
149,o4-mini,right,right,1,low,4.26,5
150,o4-mini,right,right,1,low,2.76,5
151,o4-mini,in-front-right,in-front-right,1,low,3.17,5
152,o4-mini,in-front-right,in-front-right,1,low,3.63,5
153,o4-mini,in-front-right,in-front-right,1,low,3.23,5
154,o4-mini,in-front-right,in-front-right,1,low,3.07,5
155,o4-mini,in-front-right,in-front-right,1,low,4.27,5
156,o4-mini,in-front-right,in-front-right,1,low,3.46,5
157,o4-mini,in-front-right,in-front-right,1,low,5.41,5
158,o4-mini,in-front-right,in-front-right,1,low,3.84,5
159,o4-mini,in-front-right,in-front-right,1,low,3.51,5
160,o4-mini,in-front-right,in-front-right,1,low,3.67,5
161,o4-mini,in-front-right,in-front-right,1,low,4.10,5
162,o4-mini,in-front-right,in-front-right,1,low,7.27,5
163,o4-mini,in-front-right,in-front-right,1,low,6.48,5
164,o4-mini,in-front-right,in-front-right,1,low,3.45,5
165,o4-mini,in-front-right,in-front-right,1,low,3.99,5
166,o4-mini,in-front-right,in-front-right,1,low,3.45,5
167,o4-mini,in-front-right,in-front-right,1,low,4.03,5
168,o4-mini,in-front-right,in-front-right,1,low,4.10,5
169,o4-mini,in-front-right,in-front-right,1,low,8.09,5
170,o4-mini,in-front-right,in-front-right,1,low,3.51,5
171,o4-mini,in-front-right,in-front-right,1,low,5.36,5
172,o4-mini,in-front-right,in-front-right,1,low,3.70,5
173,o4-mini,in-front-right,in-front-right,1,low,6.85,5
174,o4-mini,in-front-right,in-front-right,1,low,3.25,5
175,o4-mini,in-front-right,in-front-right,1,low,3.88,5
176,o4-mini,in-front-right,in-front-right,1,low,4.37,5
177,o4-mini,in-front-right,in-front-right,1,low,6.71,5
178,o4-mini,in-front-right,in-front-right,1,low,5.72,5
179,o4-mini,in-front-right,in-front-right,1,low,3.59,5
180,o4-mini,in-front-right,in-front-right,1,low,3.58,5
181,o4-mini,in-front-right,in-front-right,1,low,3.17,5
182,o4-mini,in-front-right,in-front-right,1,low,4.15,5
183,o4-mini,in-front-right,in-front-right,1,low,2.73,5
184,o4-mini,in-front-right,in-front-left,0,low,3.00,5
185,o4-mini,in-front-right,in-front-right,1,low,6.26,5
186,o4-mini,in-front-right,in-front-right,1,low,3.81,5
187,o4-mini,in-front-right,in-front-right,1,low,5.51,5
188,o4-mini,in-front-right,in-front-right,1,low,3.48,5
189,o4-mini,in-front-right,in-front-right,1,low,5.48,5
190,o4-mini,in-front-right,in-front-right,1,low,4.55,5
191,o4-mini,in-front-right,in-front-right,1,low,5.85,5
192,o4-mini,in-front-right,in-front-right,1,low,3.69,5
193,o4-mini,in-front-right,in-front-right,1,low,2.96,5
194,o4-mini,in-front-right,in-front,0,low,6.45,5
195,o4-mini,in-front-right,in-front-right,1,low,3.25,5
196,o4-mini,in-front-right,in-front-right,1,low,3.64,5
197,o4-mini,in-front-right,in-front-right,1,low,4.27,5
198,o4-mini,in-front-right,in-front-right,1,low,6.25,5
199,o4-mini,in-front-right,in-front-right,1,low,3.11,5
200,o4-mini,in-front-right,in-front-right,1,low,3.73,5
201,o4-mini,in-front-left,in-front-left,1,low,1.93,5
202,o4-mini,in-front-left,in-front-left,1,low,3.78,5
203,o4-mini,in-front-left,in-front-left,1,low,4.92,5
204,o4-mini,in-front-left,in-front-left,1,low,3.12,5
205,o4-mini,in-front-left,in-front-left,1,low,4.46,5
206,o4-mini,in-front-left,in-front-left,1,low,3.57,5
207,o4-mini,in-front-left,in-front-left,1,low,3.51,5
208,o4-mini,in-front-left,behind,0,low,4.03,5
209,o4-mini,in-front-left,in-front-left,1,low,4.57,5
210,o4-mini,in-front-left,in-front-left,1,low,4.22,5
211,o4-mini,in-front-left,in-front-left,1,low,3.29,5
212,o4-mini,in-front-left,in-front-left,1,low,3.37,5
213,o4-mini,in-front-left,in-front-left,1,low,3.98,5
214,o4-mini,in-front-left,in-front-left,1,low,3.63,5
215,o4-mini,in-front-left,in-front-left,1,low,5.95,5
216,o4-mini,in-front-left,in-front-left,1,low,3.21,5
217,o4-mini,in-front-left,left,0,low,9.66,5
218,o4-mini,in-front-left,in-front-left,1,low,5.01,5
219,o4-mini,in-front-left,in-front-left,1,low,7.32,5
220,o4-mini,in-front-left,in-front-left,1,low,3.13,5
221,o4-mini,in-front-left,in-front-left,1,low,3.90,5
222,o4-mini,in-front-left,in-front-left,1,low,5.93,5
223,o4-mini,in-front-left,in-front-left,1,low,3.72,5
224,o4-mini,in-front-left,in-front-left,1,low,12.76,5
225,o4-mini,in-front-left,in-front-left,1,low,5.38,5
226,o4-mini,in-front-left,in-front-left,1,low,5.31,5
227,o4-mini,in-front-left,in-front-left,1,low,3.83,5
228,o4-mini,in-front-left,in-front-left,1,low,4.77,5
229,o4-mini,in-front-left,in-front-left,1,low,8.86,5
230,o4-mini,in-front-left,in-front-left,1,low,3.95,5
231,o4-mini,in-front-left,in-front-left,1,low,2.93,5
232,o4-mini,in-front-left,in-front-left,1,low,4.88,5
233,o4-mini,in-front-left,in-front-left,1,low,5.06,5
234,o4-mini,in-front-left,in-front-left,1,low,9.01,5
235,o4-mini,in-front-left,in-front-left,1,low,5.30,5
236,o4-mini,in-front-left,in-front-left,1,low,3.27,5
237,o4-mini,in-front-left,in-front-left,1,low,4.65,5
238,o4-mini,in-front-left,in-front-left,1,low,4.60,5
239,o4-mini,in-front-left,in-front-left,1,low,3.62,5
240,o4-mini,in-front-left,in-front-left,1,low,9.29,5
241,o4-mini,in-front-left,in-front-left,1,low,3.99,5
242,o4-mini,in-front-left,in-front-left,1,low,3.31,5
243,o4-mini,in-front-left,in-front-left,1,low,3.49,5
244,o4-mini,in-front-left,in-front-right,0,low,2.92,5
245,o4-mini,in-front-left,in-front-left,1,low,5.33,5
246,o4-mini,in-front-left,in-front-left,1,low,4.03,5
247,o4-mini,in-front-left,in-front-left,1,low,5.30,5
248,o4-mini,in-front-left,in-front-left,1,low,2.61,5
249,o4-mini,in-front-left,in-front-left,1,low,3.99,5
250,o4-mini,in-front-left,in-front-left,1,low,5.05,5
251,o4-mini,left,left,1,low,2.94,5
252,o4-mini,left,left,1,low,3.19,5
253,o4-mini,left,left,1,low,3.63,5
254,o4-mini,left,left,1,low,8.59,5
255,o4-mini,left,left,1,low,4.40,5
256,o4-mini,left,left,1,low,5.37,5
257,o4-mini,left,left,1,low,4.03,5
258,o4-mini,left,left,1,low,3.50,5
259,o4-mini,left,left,1,low,6.77,5
260,o4-mini,left,left,1,low,3.88,5
261,o4-mini,left,left,1,low,3.48,5
262,o4-mini,left,left,1,low,2.43,5
263,o4-mini,left,left,1,low,3.44,5
264,o4-mini,left,left,1,low,2.98,5
265,o4-mini,left,left,1,low,4.06,5
266,o4-mini,left,left,1,low,5.42,5
267,o4-mini,left,left,1,low,3.64,5
268,o4-mini,left,left,1,low,3.22,5
269,o4-mini,left,left,1,low,3.28,5
270,o4-mini,left,left,1,low,3.89,5
271,o4-mini,left,left,1,low,3.39,5
272,o4-mini,left,left,1,low,4.29,5
273,o4-mini,left,left,1,low,3.68,5
274,o4-mini,left,left,1,low,4.00,5
275,o4-mini,left,left,1,low,3.69,5
276,o4-mini,left,left,1,low,4.81,5
277,o4-mini,left,left,1,low,3.07,5
278,o4-mini,left,left,1,low,6.73,5
279,o4-mini,left,left,1,low,3.92,5
280,o4-mini,left,left,1,low,4.61,5
281,o4-mini,left,left,1,low,4.94,5
282,o4-mini,left,left,1,low,2.78,5
283,o4-mini,left,left,1,low,5.49,5
284,o4-mini,left,left,1,low,2.90,5
285,o4-mini,left,left,1,low,4.89,5
286,o4-mini,left,left,1,low,2.80,5
287,o4-mini,left,left,1,low,3.86,5
288,o4-mini,left,left,1,low,4.14,5
289,o4-mini,left,left,1,low,3.49,5
290,o4-mini,left,left,1,low,4.56,5
291,o4-mini,left,left,1,low,5.22,5
292,o4-mini,left,left,1,low,2.64,5
293,o4-mini,left,left,1,low,5.23,5
294,o4-mini,left,left,1,low,3.50,5
295,o4-mini,left,left,1,low,3.89,5
296,o4-mini,left,left,1,low,2.45,5
297,o4-mini,left,left,1,low,3.57,5
298,o4-mini,left,left,1,low,7.71,5
299,o4-mini,left,left,1,low,4.64,5
300,o4-mini,left,left,1,low,3.34,5
301,o4-mini,behind,behind,1,low,2.94,5
302,o4-mini,behind,behind,1,low,4.02,5
303,o4-mini,behind,behind,1,low,3.06,5
304,o4-mini,behind,behind,1,low,2.57,5
305,o4-mini,behind,behind,1,low,4.27,5
306,o4-mini,behind,behind,1,low,3.41,5
307,o4-mini,behind,behind,1,low,5.63,5
308,o4-mini,behind,behind,1,low,2.66,5
309,o4-mini,behind,behind,1,low,4.30,5
310,o4-mini,behind,behind,1,low,3.33,5
311,o4-mini,behind,behind,1,low,2.66,5
312,o4-mini,behind,behind,1,low,2.61,5
313,o4-mini,behind,behind,1,low,2.33,5
314,o4-mini,behind,behind,1,low,4.02,5
315,o4-mini,behind,behind,1,low,5.16,5
316,o4-mini,behind,behind,1,low,1.91,5
317,o4-mini,behind,behind,1,low,2.31,5
318,o4-mini,behind,behind,1,low,2.33,5
319,o4-mini,behind,behind,1,low,2.62,5
320,o4-mini,behind,behind,1,low,3.92,5
321,o4-mini,behind,behind,1,low,3.05,5
322,o4-mini,behind,behind,1,low,2.04,5
323,o4-mini,behind,behind,1,low,4.53,5
324,o4-mini,behind,behind,1,low,4.41,5
325,o4-mini,behind,behind,1,low,2.12,5
326,o4-mini,behind,behind,1,low,2.60,5
327,o4-mini,behind,behind,1,low,2.73,5
328,o4-mini,behind,behind,1,low,3.31,5
329,o4-mini,behind,behind,1,low,3.86,5
330,o4-mini,behind,behind,1,low,1.99,5
331,o4-mini,behind,behind,1,low,6.07,5
332,o4-mini,behind,behind,1,low,3.99,5
333,o4-mini,behind,behind,1,low,3.28,5
334,o4-mini,behind,behind,1,low,5.03,5
335,o4-mini,behind,behind,1,low,2.80,5
336,o4-mini,behind,behind,1,low,2.43,5
337,o4-mini,behind,behind,1,low,6.35,5
338,o4-mini,behind,behind,1,low,2.04,5
339,o4-mini,behind,behind,1,low,2.83,5
340,o4-mini,behind,behind,1,low,2.92,5
341,o4-mini,behind,behind,1,low,2.55,5
342,o4-mini,behind,behind,1,low,3.38,5
343,o4-mini,behind,behind,1,low,2.92,5
344,o4-mini,behind,behind,1,low,4.14,5
345,o4-mini,behind,behind,1,low,3.80,5
346,o4-mini,behind,behind,1,low,3.90,5
347,o4-mini,behind,behind,1,low,3.51,5
348,o4-mini,behind,behind,1,low,3.64,5
349,o4-mini,behind,behind,1,low,3.08,5
350,o4-mini,behind,behind,1,low,3.15,5
351,o4-mini,in-front,in-front,1,low,2.88,5
352,o4-mini,in-front,in-front,1,low,5.14,5
353,o4-mini,in-front,in-front,1,low,2.57,5
354,o4-mini,in-front,in-front,1,low,2.20,5
355,o4-mini,in-front,in-front,1,low,3.27,5
356,o4-mini,in-front,in-front,1,low,4.31,5
357,o4-mini,in-front,in-front,1,low,3.11,5
358,o4-mini,in-front,in-front,1,low,3.16,5
359,o4-mini,in-front,in-front,1,low,3.22,5
360,o4-mini,in-front,in-front,1,low,8.94,5
361,o4-mini,in-front,in-front,1,low,2.93,5
362,o4-mini,in-front,in-front,1,low,4.98,5
363,o4-mini,in-front,in-front,1,low,5.35,5
364,o4-mini,in-front,in-front,1,low,2.36,5
365,o4-mini,in-front,in-front,1,low,2.42,5
366,o4-mini,in-front,in-front,1,low,4.25,5
367,o4-mini,in-front,in-front,1,low,2.59,5
368,o4-mini,in-front,in-front,1,low,2.66,5
369,o4-mini,in-front,in-front,1,low,3.00,5
370,o4-mini,in-front,in-front,1,low,3.74,5
371,o4-mini,in-front,in-front,1,low,4.08,5
372,o4-mini,in-front,in-front,1,low,2.33,5
373,o4-mini,in-front,in-front,1,low,1.64,5
374,o4-mini,in-front,in-front,1,low,2.75,5
375,o4-mini,in-front,in-front,1,low,3.23,5
376,o4-mini,in-front,in-front,1,low,3.90,5
377,o4-mini,in-front,in-front,1,low,2.08,5
378,o4-mini,in-front,in-front,1,low,2.70,5
379,o4-mini,in-front,in-front,1,low,3.20,5
380,o4-mini,in-front,in-front,1,low,3.35,5
381,o4-mini,in-front,in-front,1,low,1.60,5
382,o4-mini,in-front,in-front,1,low,1.78,5
383,o4-mini,in-front,in-front,1,low,3.62,5
384,o4-mini,in-front,in-front,1,low,2.55,5
385,o4-mini,in-front,in-front,1,low,3.08,5
386,o4-mini,in-front,in-front,1,low,2.57,5
387,o4-mini,in-front,in-front,1,low,2.03,5
388,o4-mini,in-front,in-front,1,low,3.69,5
389,o4-mini,in-front,in-front,1,low,2.35,5
390,o4-mini,in-front,in-front,1,low,2.86,5
391,o4-mini,in-front,in-front,1,low,2.45,5
392,o4-mini,in-front,in-front,1,low,2.29,5
393,o4-mini,in-front,in-front,1,low,2.83,5
394,o4-mini,in-front,in-front,1,low,2.74,5
395,o4-mini,in-front,in-front,1,low,2.68,5
396,o4-mini,in-front,in-front,1,low,2.89,5
397,o4-mini,in-front,in-front,1,low,5.48,5
398,o4-mini,in-front,in-front,1,low,3.94,5
399,o4-mini,in-front,in-front,1,low,2.33,5
400,o4-mini,in-front,in-front,1,low,12.91,5
401,o4-mini,in-front-left,in-front-left,1,low,9.10,5
402,o4-mini,in-front-left,in-front-left,1,low,5.47,5
403,o4-mini,in-front-left,in-front-left,1,low,3.37,5
404,o4-mini,in-front-left,in-front-left,1,low,4.85,5
405,o4-mini,in-front-left,in-front-left,1,low,3.33,5
406,o4-mini,in-front-left,in-front-left,1,low,3.97,5
407,o4-mini,in-front-left,in-front-left,1,low,4.09,5
408,o4-mini,in-front-left,in-front-left,1,low,4.15,5
409,o4-mini,in-front-left,in-front-left,1,low,6.31,5
410,o4-mini,in-front-left,in-front-left,1,low,3.72,5
411,o4-mini,in-front-left,in-front-left,1,low,4.05,5
412,o4-mini,in-front-left,in-front-left,1,low,3.30,5
413,o4-mini,in-front-left,in-front-left,1,low,3.60,5
414,o4-mini,in-front-left,in-front-left,1,low,4.47,5
415,o4-mini,in-front-left,in-front-left,1,low,4.89,5
416,o4-mini,in-front-left,in-front-left,1,low,2.90,5
417,o4-mini,in-front-left,in-front-left,1,low,4.94,5
418,o4-mini,in-front-left,in-front-left,1,low,2.88,5
419,o4-mini,in-front-left,in-front-left,1,low,3.56,5
420,o4-mini,in-front-left,in-front-left,1,low,3.29,5
421,o4-mini,in-front-left,in-front-left,1,low,4.14,5
422,o4-mini,in-front-left,in-front-left,1,low,4.27,5
423,o4-mini,in-front-left,in-front-left,1,low,3.08,5
424,o4-mini,in-front-left,in-front-left,1,low,3.15,5
425,o4-mini,in-front-left,in-front-left,1,low,3.58,5
426,o4-mini,in-front-left,in-front-left,1,low,4.08,5
427,o4-mini,in-front-left,in-front-left,1,low,6.48,5
428,o4-mini,in-front-left,in-front-left,1,low,4.25,5
429,o4-mini,in-front-left,in-front-left,1,low,3.95,5
430,o4-mini,in-front-left,in-front-left,1,low,4.19,5
431,o4-mini,in-front-left,in-front-left,1,low,4.05,5
432,o4-mini,in-front-left,in-front-left,1,low,4.14,5
433,o4-mini,in-front-left,in-front-left,1,low,4.61,5
434,o4-mini,in-front-left,in-front-left,1,low,2.90,5
435,o4-mini,in-front-left,in-front-left,1,low,2.91,5
436,o4-mini,in-front-left,in-front-left,1,low,4.29,5
437,o4-mini,in-front-left,in-front-left,1,low,4.88,5
438,o4-mini,in-front-left,in-front-left,1,low,2.95,5
439,o4-mini,in-front-left,in-front-left,1,low,4.39,5
440,o4-mini,in-front-left,in-front-left,1,low,5.12,5
441,o4-mini,in-front-left,in-front-left,1,low,5.32,5
442,o4-mini,in-front-left,in-front-left,1,low,4.00,5
443,o4-mini,in-front-left,in-front-left,1,low,5.22,5
444,o4-mini,in-front-left,in-front-left,1,low,3.45,5
445,o4-mini,in-front-left,in-front-left,1,low,4.44,5
446,o4-mini,in-front-left,in-front-left,1,low,3.98,5
447,o4-mini,in-front-left,in-front-left,1,low,4.52,5
448,o4-mini,in-front-left,in-front-left,1,low,10.64,5
449,o4-mini,in-front-left,in-front-left,1,low,3.73,5
450,o4-mini,in-front-left,in-front-left,1,low,5.53,5
451,o4-mini,behind-right,behind,0,low,3.56,5
452,o4-mini,behind-right,behind,0,low,5.43,5
453,o4-mini,behind-right,behind,0,low,6.15,5
454,o4-mini,behind-right,behind,0,low,3.27,5
455,o4-mini,behind-right,behind,0,low,2.56,5
456,o4-mini,behind-right,behind,0,low,3.58,5
457,o4-mini,behind-right,behind,0,low,3.61,5
458,o4-mini,behind-right,behind,0,low,3.02,5
459,o4-mini,behind-right,behind,0,low,8.22,5
460,o4-mini,behind-right,behind,0,low,6.22,5
461,o4-mini,behind-right,behind,0,low,5.26,5
462,o4-mini,behind-right,behind,0,low,5.34,5
463,o4-mini,behind-right,behind,0,low,7.34,5
464,o4-mini,behind-right,behind,0,low,3.07,5
465,o4-mini,behind-right,behind,0,low,5.23,5
466,o4-mini,behind-right,behind,0,low,4.71,5
467,o4-mini,behind-right,behind,0,low,7.16,5
468,o4-mini,behind-right,behind,0,low,10.58,5
469,o4-mini,behind-right,behind,0,low,3.84,5
470,o4-mini,behind-right,behind,0,low,5.33,5
471,o4-mini,behind-right,behind,0,low,6.24,5
472,o4-mini,behind-right,behind,0,low,4.19,5
473,o4-mini,behind-right,behind,0,low,8.84,5
474,o4-mini,behind-right,behind,0,low,8.54,5
475,o4-mini,behind-right,behind,0,low,6.33,5
476,o4-mini,behind-right,behind,0,low,4.88,5
477,o4-mini,behind-right,behind,0,low,4.00,5
478,o4-mini,behind-right,behind,0,low,4.17,5
479,o4-mini,behind-right,behind,0,low,4.27,5
480,o4-mini,behind-right,behind,0,low,5.38,5
481,o4-mini,behind-right,behind,0,low,4.53,5
482,o4-mini,behind-right,behind,0,low,3.53,5
483,o4-mini,behind-right,behind,0,low,5.08,5
484,o4-mini,behind-right,behind,0,low,4.29,5
485,o4-mini,behind-right,behind,0,low,5.91,5
486,o4-mini,behind-right,behind,0,low,3.21,5
487,o4-mini,behind-right,behind,0,low,3.56,5
488,o4-mini,behind-right,behind,0,low,4.99,5
489,o4-mini,behind-right,behind,0,low,5.82,5
490,o4-mini,behind-right,behind,0,low,7.41,5
491,o4-mini,behind-right,behind,0,low,6.57,5
492,o4-mini,behind-right,behind,0,low,2.98,5
493,o4-mini,behind-right,behind,0,low,4.71,5
494,o4-mini,behind-right,behind,0,low,5.92,5
495,o4-mini,behind-right,behind,0,low,3.83,5
496,o4-mini,behind-right,behind,0,low,6.69,5
497,o4-mini,behind-right,behind,0,low,5.05,5
498,o4-mini,behind-right,behind,0,low,4.92,5
499,o4-mini,behind-right,behind,0,low,6.51,5
500,o4-mini,behind-right,behind,0,low,6.70,5
501,o4-mini,right,right,1,low,4.50,5
502,o4-mini,right,right,1,low,5.66,5
503,o4-mini,right,right,1,low,2.53,5
504,o4-mini,right,right,1,low,4.59,5
505,o4-mini,right,right,1,low,3.39,5
506,o4-mini,right,right,1,low,3.72,5
507,o4-mini,right,right,1,low,4.78,5
508,o4-mini,right,right,1,low,3.11,5
509,o4-mini,right,right,1,low,3.51,5
510,o4-mini,right,right,1,low,3.22,5
511,o4-mini,right,right,1,low,2.75,5
512,o4-mini,right,right,1,low,3.79,5
513,o4-mini,right,right,1,low,2.64,5
514,o4-mini,right,right,1,low,3.70,5
515,o4-mini,right,right,1,low,3.59,5
516,o4-mini,right,right,1,low,4.14,5
517,o4-mini,right,right,1,low,3.54,5
518,o4-mini,right,right,1,low,4.40,5
519,o4-mini,right,right,1,low,5.20,5
520,o4-mini,right,right,1,low,3.41,5
521,o4-mini,right,right,1,low,3.17,5
522,o4-mini,right,right,1,low,2.98,5
523,o4-mini,right,right,1,low,3.78,5
524,o4-mini,right,right,1,low,3.99,5
525,o4-mini,right,right,1,low,3.18,5
526,o4-mini,right,right,1,low,5.32,5
527,o4-mini,right,right,1,low,3.89,5
528,o4-mini,right,right,1,low,4.77,5
529,o4-mini,right,right,1,low,3.11,5
530,o4-mini,right,right,1,low,4.15,5
531,o4-mini,right,right,1,low,4.56,5
532,o4-mini,right,right,1,low,3.28,5
533,o4-mini,right,right,1,low,4.44,5
534,o4-mini,right,right,1,low,3.24,5
535,o4-mini,right,right,1,low,3.37,5
536,o4-mini,right,right,1,low,5.12,5
537,o4-mini,right,right,1,low,5.78,5
